Mon May  6 17:13:59 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Mon May  6 17:14:05 2019 | SERIAL_configure | MicroADSB_Colector configured
Mon May  6 17:14:06 2019 | SERIAL_read | It couldn't read serial port
Mon May  6 17:14:09 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Mon May  6 17:14:09 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Mon May  6 17:14:11 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Mon May  6 17:14:11 2019 | SERIAL_configure | MicroADSB_Colector configured
Mon May  6 17:14:11 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Mon May  6 17:14:12 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:14:33 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:14:40 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:14:41 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:14:44 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:14:44 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:14:45 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:14:46 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:14:46 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:14:47 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:14:50 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:14:50 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:14:51 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:14:52 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:14:52 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:14:53 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:14:56 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:14:56 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:14:57 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:14:58 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:14:58 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:14:59 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:15:02 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:15:02 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:15:03 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:15:04 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:15:04 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:15:05 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:15:08 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:15:08 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:15:09 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:15:10 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:15:10 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:15:11 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:15:14 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:15:14 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:15:15 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:15:16 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:15:16 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:15:17 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:15:20 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:15:20 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:15:21 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:15:22 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:15:22 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:15:23 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:15:26 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:15:26 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:15:27 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:15:28 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:15:28 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:15:29 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:15:32 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:15:32 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:15:33 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:15:34 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:15:34 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:15:35 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:15:38 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:15:38 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:15:39 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:15:40 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:15:40 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:15:41 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:15:44 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:15:44 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:15:45 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:15:46 2019 | SERIAL_configure | MicroADSB_Colector configured
